Generation Number,Generation Time,Training Error,Testing Error,Average Size
108,13.963842201056536,115.51846243825685,131.43736536571186,81.0
109,14.078953974359479,115.51846243825685,131.43736536571186,81.0
110,13.97872543285564,115.51846243825685,131.23319840383334,80.0
111,13.892455141970345,115.37637548717801,131.23319840383334,80.0
112,13.860813954977402,115.25130940100772,125.91887607909447,80.5
113,13.939393952330533,114.30314683430444,122.84405332093269,80.5
114,13.953351776034992,114.30314683430444,128.75374149290832,82.0
115,13.842818517269166,114.30314683430444,128.75374149290832,81.0
116,13.827705890138077,113.81384832134785,125.1899492888909,81.0
117,14.117144028107873,111.65351807484518,117.71123071436388,82.0
118,14.28440268272982,111.65351807484518,117.71123071436388,82.0
119,13.959153684911598,111.65351807484518,117.71123071436388,82.0
120,14.066025014337242,111.65351807484518,117.71123071436388,82.0
121,14.13527010161954,111.65351807484518,118.18370973723445,83.0
122,14.136601505299723,111.46979002914173,120.27735282813717,84.0
123,14.132019006228575,111.46979002914173,119.2182397088998,83.0
124,14.091269458402166,111.43160608649777,119.04599748122317,83.0
125,14.084598351825544,111.43160608649777,119.04599748122317,83.0
126,14.003686832679477,111.06944751833399,119.04599748122317,83.0
127,13.993319074392502,111.17594290600073,119.04599748122317,83.0
128,14.104775322071305,110.75013232260534,123.57226107612541,83.0
129,14.01612996412507,110.75013232260534,123.57226107612541,83.5
130,14.09177592117453,110.63378731440926,124.60290215609004,84.0
131,13.96708162745449,110.53527916230257,124.60290215609004,84.0
132,14.051669021810994,110.53527916230257,125.32160996135154,84.5
133,14.14685342748237,109.94109752653203,120.78672082236226,85.0
134,14.215643708633706,106.41057022515244,119.67829171143364,85.0
135,14.260589113398282,106.41057022515244,117.95391358657939,86.0
136,14.278589816383944,106.41057022515244,119.67829171143364,87.0
137,14.187827674583446,106.41057022515244,119.67829171143364,87.0
138,14.180045736761715,106.38192637180794,119.67829171143364,87.0
139,14.251699332732981,106.41057022515244,118.49102840529797,87.0
140,14.255921373753267,105.3094204470051,121.30575424346725,87.0
141,14.170820116774962,104.70695794870272,121.30575424346725,88.0
142,14.479876394053349,104.49668886953484,113.11757232697909,89.0
143,14.466775814446233,103.53161832049398,107.85476290397125,88.0
144,14.444039207817468,103.53161832049398,107.85476290397125,88.5
145,14.35893311247662,103.53161832049398,107.85476290397125,89.0
146,14.534942231367836,103.53161832049398,113.99596240081956,90.0
147,14.67143729267957,103.53161832049398,113.99596240081956,91.0
148,14.650444489033248,103.02293381119394,113.5975067360632,92.0
149,14.56884649154631,103.02293381119394,113.5975067360632,91.0
150,14.605010694205362,102.69822366361339,109.35136137696041,92.0
151,14.547457511345101,102.69822366361339,109.35136137696041,91.0
152,14.477668108214402,102.69822366361339,109.48246495147957,90.0
153,14.52021155031093,102.69822366361339,109.48246495147957,91.0
154,14.613529913179832,102.58322904201563,109.48246495147957,91.0
155,14.585557343852313,102.58322904201563,110.10218307661718,91.0
156,14.63252390364846,102.58322904201563,109.77491518069459,91.0
157,14.566554957400967,102.58322904201563,109.77491518069459,90.0
158,14.4261070957441,102.4586754692408,109.77491518069459,91.0
159,14.466272482379281,102.4586754692408,109.77491518069459,91.5
160,14.494285608573819,102.28273645131303,109.77491518069459,91.0
161,14.379059706823682,102.4586754692408,109.77491518069459,92.0
162,14.499490406521772,102.4586754692408,109.20026339532185,92.0
163,14.608347883998931,102.4586754692408,109.77491518069459,93.0
164,14.510081867949793,102.4586754692408,109.77491518069459,91.0
165,14.503775061653641,102.4586754692408,109.77491518069459,91.0
166,14.519540298583479,102.4586754692408,109.77491518069459,91.0
167,14.481350671749624,102.4586754692408,109.77491518069459,91.0
168,14.511483570199516,102.4586754692408,109.77491518069459,91.0
169,14.464314795287464,102.4586754692408,109.77491518069459,91.5
170,14.64381678541986,102.01665919663037,107.89259302115741,92.0
171,14.526745901977394,101.96875893574419,107.89259302115741,92.0
172,14.530088926267352,101.93223250297027,107.54192642737071,92.0
173,14.240527836952651,101.93223250297027,106.43082880903755,91.0
174,14.26812358317784,101.93223250297027,106.43082880903755,91.0
175,14.429154410665888,101.93223250297027,106.43082880903755,90.5
176,14.587180187756758,101.5274408707979,107.7253761397771,92.0
177,14.629451969996124,100.84164461442916,107.04069712890421,93.0
178,14.651419134587286,100.81189853854917,107.4543495903759,92.0
179,14.435096632071918,100.81189853854917,106.9810669899257,93.0
180,14.598689088210676,100.81189853854917,106.9810669899257,94.0
181,14.742344784600164,100.4316123308466,106.9810669899257,94.0
182,14.894013664106524,99.41308132840416,106.28544861033295,95.0
183,15.0021216222176,99.41308132840416,106.28544861033295,96.0
184,15.04561950258767,99.41308132840416,106.28544861033295,97.0
185,14.643891068523999,99.42441502139962,107.07574429589766,97.0
186,14.720963488858615,99.42441502139962,107.07574429589766,98.0
187,14.904326208132034,99.42441502139962,106.57056504766982,99.0
