Generation Number,Generation Time,Training Error,Testing Error,Average Size
48,21.691379352739872,0.007911644206227156,0.007910573415102075,12.74
49,21.612799518499276,0.007853982114114482,0.007832625937722364,12.86
50,21.674232360601113,0.007805865026363061,0.007761849026265125,13.12
51,21.682890314421684,0.007795650853164054,0.007757649942015515,13.24
52,21.70804957332207,0.007790445937051169,0.007754942331318126,13.66
53,21.837561502703064,0.007771409010148791,0.007694559718368022,14.12
54,21.805256253577028,0.0077614061694338665,0.0076809875059394685,14.22
55,21.8203463351425,0.007752693095277665,0.007687572776925487,14.4
56,21.91077564556031,0.00775075134648934,0.0076846827210841455,14.62
57,21.90557709356041,0.007740165096896341,0.007689933468591985,15.08
58,21.95275106085687,0.007725020379237415,0.007680905385076691,15.46
59,22.01500606496331,0.007715122349790176,0.007676299138916143,15.8
60,21.949133632661596,0.007706770966595884,0.007675385807938366,16.28
61,21.96836041769788,0.007683094087507804,0.00764670712695793,16.26
62,22.028538378140293,0.007662779045275852,0.00762822076027902,16.12
63,22.084524887701836,0.007649034682710511,0.007601521577008812,16.58
64,22.132783580417613,0.007639972430829259,0.0075924474890774665,16.9
65,22.10491472251954,0.007634297023219653,0.007579315337686574,17.14
66,22.109445985418983,0.00762829741750777,0.007583236438316877,17.16
67,22.144728719021565,0.007607762664332175,0.007595101651660605,17.46
68,22.172931127518435,0.007582342297249119,0.0075693969217119125,17.94
69,22.18493015967915,0.007574599009532085,0.007575922818587964,17.94
70,22.26735977171993,0.007570543761855603,0.007570186892413078,18.52
71,22.22342125292143,0.007550558148906286,0.007528211100049556,18.58
72,22.241206930683678,0.007537373347437629,0.007510843312384358,19.0
73,22.234377773140654,0.007532163888449624,0.007503271999272745,19.3
74,22.33021856843826,0.007512775559170305,0.007498566928624621,19.96
75,22.33109612683972,0.007491266037639587,0.007490656478649039,19.94
76,22.442343045178944,0.007477562031057819,0.007470099398919952,20.3
77,22.452042264482596,0.0074615152061622446,0.007454111716595123,20.28
78,22.597549856459796,0.007453695481513778,0.007434775102155924,20.18
79,22.44004375007941,0.007435575020984489,0.0074365909777553115,20.42
80,22.423381737821042,0.007416544052768715,0.007416769557115275,20.52
81,22.509279574441145,0.007402899593925614,0.011134538215923093,20.96
82,22.57516980072147,0.007392999756454632,0.01114215908077151,21.22
83,22.642377608141327,0.007384496457613196,0.011146867757153083,21.54
84,22.64181486181867,0.0073744518900700825,0.01118349960490247,21.46
85,22.768148201719875,0.00735415377177955,0.011177969203572747,21.46
86,22.81791233468021,0.0073343460845716815,0.011148266416234192,21.84
