Generation Number,Generation Time,Training Error,Testing Error,Average Size
34,20.648903528556822,0.027696210733629375,0.028164929568276192,6.84
35,20.667728211807894,0.027486103846163436,0.028011362975525658,6.8
36,20.67445738246495,0.02738474114311304,0.02770634476826169,7.04
37,20.67775078417076,0.027298017077583062,0.0275827318821284,7.2
38,20.736683243261485,0.027245407389475795,0.02762771283072387,7.36
39,20.76717724810507,0.027172194469068853,0.02755142751558531,7.74
40,20.819220489361104,0.027124324317549343,0.02751010569806118,7.9
41,20.80159667508051,0.02705685056318533,0.027431964656154308,8.04
42,20.791535020173264,0.026844770884038326,0.027395112149822133,8.32
43,20.891343278910067,0.026821939207308562,0.027378920353709268,8.48
44,20.85661092973577,0.026685038903819455,0.027302387839804612,8.68
45,20.8624891243689,0.026598426100245497,0.026992616525063007,8.82
46,20.879734374166915,0.026560189201810847,0.026933108085872112,8.78
47,20.87409886016901,0.02651783708268044,0.026833941184399777,9.08
48,20.93965621477163,0.02650802654419166,0.02682871856520666,9.2
49,20.893351180229256,0.02640240016246347,0.026816692801611444,9.26
50,20.9301669375657,0.02633770348303637,0.026747216650759367,9.42
51,20.919790231584102,0.02627798612408819,0.02676916591085667,9.5
52,20.932579058050127,0.026262165025766265,0.02674253898658105,9.64
53,20.98860064167762,0.026063766026536584,0.02646759502399671,9.94
54,20.981090429187073,0.0259612527577695,0.02638147328910773,10.1
55,20.992751406041354,0.02589256561263761,0.026327639754353257,10.04
56,21.009778377608683,0.02583335335180351,0.026325701075275543,10.36
57,21.02239810063043,0.02581401009808326,0.026321652488768877,10.28
58,20.99948745855097,0.025802705461141426,0.02639798808431834,10.4
59,21.074118543744593,0.025791347275942872,0.02644889622842287,10.7
60,21.073066605115443,0.025773222477834593,0.026483232408186837,11.04
61,21.097474559490077,0.025717192618582255,0.026534402068518696,11.2
62,21.14737371388628,0.025701685084318252,0.02643718028381704,11.54
63,21.12470386263205,0.025692836690237454,0.026401770760202514,11.58
64,21.155004048566244,0.025650717025415833,0.026384880461570864,11.74
65,21.31796824841966,0.025633554154533097,0.026301035999928724,12.04
66,21.259598478934937,0.025613159981729434,0.02635834448442978,11.94
67,21.197586473547144,0.02555088353565106,0.02630536894758368,11.96
68,21.22832975057894,0.02550476066090381,0.02633597685858031,12.04
69,21.270417843407454,0.02539438237598619,0.026150052354702854,12.22
