generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,test_rse,best_candidate_size,best_candidate_solution
12,17.81619426284783,0.6282242774373926,0.9279238801094198,1.0770623655825955,1.2971232490567146,119478724036.56812,7526343082.121041,477105957.1704902,0.17510361169536764,0.4748032143673948,0.6239416998405705,0.8440025833146897,119478724036.11499,7526343082.121038,477105956.71740294,0.44438280166435506,0.453120665742025,0.453120665742025,0.453120665742025,0.4534951456310679,0.0005510288592206089,0.4530873454862934,3.0,3.0,5.0,5.0,13.0,2.1730063953740673,4.673306772908367,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
13,17.820817169903194,0.6209843329158946,0.9197052501205583,1.0691407807666187,1.301862091897545,3592837.596326938,255276.76979097028,24922.029409766612,0.17510361169536764,0.4738245289000313,0.6232600595460916,0.855981370677018,3592837.1444545384,255276.7694611721,24921.583465388783,0.445880721220527,0.445880721220527,0.445880721220527,0.445880721220527,0.45411927877947295,0.0006492746680815829,0.4459443778284918,1.0,3.0,5.0,5.0,13.0,2.2797201265016946,4.721115537848606,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
14,17.87971846459027,0.6247915451211652,0.9171029189398214,1.0685782437400475,1.294093272948253,10605667.441677587,669621.8778750583,44534.020740363245,0.17510361169536764,0.46741498551402394,0.61889031031425,0.8444053395224557,10605666.991989654,669621.8778740953,44533.57106690972,0.4474410540915395,0.4496879334257975,0.4496879334257975,0.4496879334257975,0.4496879334257975,0.0001659088199080539,0.44967345353675453,3.0,3.0,5.0,5.0,15.0,2.347819413839148,4.912,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
15,17.902192913800263,0.628161864122552,0.9204732379412084,1.0636583422173258,1.2957313578756549,4155918.4084022096,280794.5619637341,23777.881169593074,0.17510361169536764,0.46741498551402394,0.6106000897901414,0.8426731054484704,4155917.955343957,280794.5619624709,23777.428126260154,0.44918862690707356,0.4530582524271844,0.4530582524271844,0.4530582524271844,0.45318307905686556,0.00024391978925239165,0.45304333290969256,1.0,3.0,5.0,7.0,13.0,2.397890111343634,5.055776892430279,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
16,18.080289675232507,0.6226694924165881,0.9149808662352444,1.0570219459222931,1.3098059762706686,28113614.58762074,1771038.114213396,114739.27939322029,0.17510361169536764,0.46741498551402394,0.6094560652010726,0.8598059762706688,28113614.14005486,1771038.1142136853,114738.83175771516,0.4475658807212205,0.4475658807212205,0.4475658807212205,0.4475658807212205,0.4525589459084605,0.0005517492272920066,0.44763550513618194,1.0,3.0,5.0,7.0,15.0,2.5355928857060515,5.390438247011952,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
17,18.06163354290061,0.6245418918618031,0.9127941993598402,1.041240933616916,1.2924524940772346,1358045726.5042894,85718150.47436811,5436248.458361547,0.17510361169536764,0.4633559191934047,0.5918026534504804,0.843014213910799,1358045726.054851,85718150.47437008,5436248.00889281,0.4475658807212205,0.4494382801664355,0.4494382801664355,0.4494382801664355,0.45418169209431347,0.0003716494419526335,0.44946873786407776,1.0,3.0,5.0,7.0,17.0,2.7613793654621235,5.528,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
18,18.129631516483187,0.6238553453985577,0.867170569632167,0.916166719217214,1.1461469636972397,94580016.58006494,5957877.052075756,378039.5835505716,0.17510361169536764,0.418418835928977,0.46741498551402394,0.6973952299940498,94580016.12881666,5957877.051915853,378039.1348296715,0.44226074895977807,0.44875173370319005,0.44875173370319005,0.44875173370319005,0.45124826629681,0.0005428322004504591,0.44872090003370707,1.0,3.0,5.0,7.0,13.0,2.5158849947303668,5.50199203187251,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
19,18.18092549216044,0.631282529864577,0.8501615760921284,0.9235939036832332,1.186308398272256,3051302669703.8115,192212468886.07864,12156687947.740713,0.17510361169536764,0.3939826579229191,0.46741498551402394,0.7301294801030466,3051302669703.3555,192212468886.07864,12156687947.284767,0.4411997226074896,0.45617891816920936,0.45617891816920936,0.45617891816920936,0.45617891816920936,0.0017096411592568317,0.45594766564808725,3.0,3.0,5.0,7.0,15.0,2.6061989829100947,5.677290836653387,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
20,18.212942033646414,0.6229815589907907,0.8352189160008909,0.965299191690639,1.2653695040191972,216679941041.96072,15564443556.975744,1341819772.173105,0.17510361169536764,0.38734096870546797,0.5174212443952161,0.8174915567237742,216679941041.51285,15564443556.975746,1341819771.7252007,0.447877947295423,0.447877947295423,0.447877947295423,0.447877947295423,0.451497919556172,0.0002954156557718547,0.4479043051096584,3.0,3.0,5.0,7.0,17.0,2.66008987770894,5.892430278884462,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
21,18.226079024587307,0.6227319057314287,0.834969262741529,0.915043279550085,1.1317642216044688,1374001948.5745447,86725352.2187809,5499074.228441808,0.17510361169536764,0.38734096870546797,0.46741498551402394,0.6843231675129291,1374001948.1269164,86725352.2187808,5499073.780815012,0.44687933425797505,0.4476282940360611,0.4476282940360611,0.4476282940360611,0.449126213592233,0.00011841146467622339,0.44762679611650497,1.0,5.0,6.0,7.0,17.0,2.998548982424666,6.448,360.56707146960485,18.988603726172308,-0.28203882648823697,12.599159999999994,1.2820388264882374,3,"mul(0.1553, ARG0)"
