   	      	            fitness            	              size
   	      	-------------------------------	-------------------------------
gen	nevals	max    	mean   	min    	std    	max	mean   	min	std
194	224   	874.008	66.555 	2.59298	105.958	69 	32.9867	1  	11.1762
195	232   	855.959	60.0845	2.59298	89.548 	67 	32.3267	1  	10.6101
196	239   	1062.53	57.5123	2.59298	91.6811	55 	33.7933	3  	8.95902
197	211   	2137.81	61.1876	2.59298	143.15 	73 	33.3067	3  	10.2911
198	210   	2236.01	55.5302	2.59298	141.335	61 	33.4733	3  	9.31679
199	209   	2709.31	60.1352	2.59298	174.859	63 	33.9933	3  	9.14111
200	224   	2236.01	63.744 	2.59298	164.719	69 	33.12  	1  	10.6263
201	223   	483.128	55.2809	2.59298	72.4133	69 	33.7733	1  	10.0844
202	228   	1242.96	63.3435	2.59298	117.255	67 	35.2133	3  	7.65122
203	213   	483.128	51.2785	2.59298	69.012 	67 	33.7733	1  	9.80554
204	209   	540.038	48.0602	2.59298	67.3663	59 	33.66  	1  	9.23784
205	226   	1405.75	51.8067	2.59298	102.141	67 	33.3267	1  	9.91362
206	220   	788.995	59.6242	2.59298	93.3874	55 	33.02  	1  	9.94181
207	204   	625.249	54.7021	2.59298	80.6444	63 	33.6067	3  	9.50747
208	217   	2709.31	69.317 	2.59298	177.94 	61 	34.2067	3  	8.91575
209	212   	689.461	56.6784	2.59298	83.251 	61 	33.52  	3  	9.6814
210	215   	2661.67	65.1975	2.59298	173.303	71 	34.16  	1  	9.64923
211	232   	634.178	62.2206	2.59298	88.2585	69 	33.26  	3  	9.81966
212	215   	2808.79	68.9499	2.59298	179.458	61 	33     	3  	9.81699
213	221   	612.004	57.2137	2.59298	81.0505	67 	33.2667	3  	9.86351
214	231   	1372.15	62.0972	2.59298	116.464	71 	33.36  	3  	10.2751
215	206   	434.142	54.7707	2.59298	77.2501	59 	34.0533	1  	9.74117
216	238   	2325.3 	68.1051	2.59298	196.641	67 	33.5333	3  	9.87837
217	224   	606.913	57.6751	2.59298	74.833 	67 	33.32  	1  	10.105
218	231   	788.995	54.3383	2.59298	74.4228	59 	33.2467	1  	8.72425
219	206   	943.761	52.9804	2.59298	90.8344	69 	33.6333	3  	8.7673
220	217   	2522.68	58.954 	2.59298	160.251	71 	33.44  	3  	10.1453
221	220   	788.995	56.7003	2.59298	97.9498	71 	34.0267	3  	9.81628
222	223   	3646.8 	74.4316	2.59298	268.565	59 	33.7667	1  	9.38859
223	229   	1045.65	51.9912	2.59298	94.8589	57 	34.6067	3  	8.01448
224	229   	1788.61	60.2345	2.59298	138.276	67 	33.6467	3  	9.45702
225	215   	438.868	50.3721	2.59298	66.3494	57 	34.5067	1  	8.40139
226	205   	554.002	50.6942	2.59298	79.452 	65 	33.6   	3  	9.47066
227	203   	2089.68	55.7912	2.59298	169.621	69 	34.4   	3  	9.49596
228	218   	2425.9 	65.3767	2.59298	167.879	69 	34.3933	3  	9.28468
229	231   	2709.31	79.3433	2.59298	228.28 	67 	33.8133	3  	9.58776
230	204   	562.352	60.7111	2.59298	83.0401	57 	33.9933	3  	9.25851
231	208   	1009.92	52.7654	2.59298	88.1187	79 	34.08  	3  	9.25816
232	232   	677.392	56.2039	2.59298	91.75  	71 	33.4   	3  	10.315
233	219   	2236.01	64.5677	2.59298	147.869	61 	34.6867	3  	8.10402
234	225   	943.761	62.2918	2.59298	111.546	67 	34.46  	1  	9.09881
235	220   	1663.16	64.8378	2.59298	134.175	63 	35.0667	3  	8.09417
236	219   	3120.03	62.6344	2.59298	195.776	79 	34.28  	3  	9.81639
237	226   	2479.88	68.9687	2.59298	163.431	67 	33.82  	3  	9.4082
238	225   	2522.68	69.6644	2.59298	204.543	67 	33.96  	3  	8.90908
239	219   	2062.07	54.0638	2.59298	131.94 	67 	33.78  	1  	9.2559
240	221   	979.964	59.7825	2.59298	107.451	59 	34.3267	3  	8.97478
241	213   	605.535	44.96  	2.59298	62.1889	59 	34.3   	3  	8.82289
242	219   	2709.31	69.1442	2.59298	187.677	67 	32.84  	1  	10.9654
243	225   	931.474	62.8612	2.59298	102.304	53 	33.5467	3  	8.90512
244	210   	577.889	48.1938	2.59298	65.2097	59 	33.72  	1  	9.03557
245	225   	13161.7	110.415	2.59298	773.736	67 	34.34  	3  	9.61411
246	229   	460.158	54.2314	2.59298	73.2235	69 	33.7933	3  	9.27922
247	206   	734.571	47.0372	2.15447	77.9637	67 	33.7133	3  	9.50567
248	220   	2522.68	66.7228	2.15447	170.016	69 	33.7   	3  	9.54027
249	218   	746.287	53.0163	2.15447	92.0112	67 	34.5867	3  	8.53478
250	228   	2709.31	58.5259	2.15447	167.852	59 	33.2133	3  	9.35563
251	227   	534.864	58.9297	2.15447	78.5344	59 	33.68  	3  	8.5723
252	210   	612.004	54.6785	2.15447	86.1364	57 	33.1133	3  	9.47561
253	216   	2709.31	74.0225	2.15447	228.262	67 	33.9267	3  	9.57956
254	231   	2236.01	62.9536	2.15447	150.983	69 	33.88  	1  	9.18108
255	216   	1051.49	58.0734	2.15447	92.793 	67 	34     	3  	9.89208
256	222   	2958.53	71.7148	2.15447	192.699	67 	34.1067	3  	8.7728
257	213   	1303.7 	58.5472	2.15447	105.913	69 	34.1667	1  	9.05606
258	218   	2524.41	75.739 	2.15447	222.493	73 	34.86  	3  	9.0285
259	218   	1665.62	59.8538	2.15447	120.317	65 	33.7867	3  	9.23875
260	213   	559.687	51.3586	2.15447	69.2888	47 	33.96  	3  	7.95896
261	241   	948.433	55.0104	2.15447	78.9983	71 	33.4933	3  	10.1612
262	221   	599.847	59.7405	2.15447	78.8615	73 	33.78  	3  	9.22848
263	223   	943.761	59.7937	2.15447	89.3735	59 	33.8133	3  	9.2739
264	193   	1188.42	57.6112	2.15447	105.385	59 	34.1667	1  	9.01622
265	226   	3089.52	84.1551	2.15447	226.9  	71 	33.1533	3  	10.904
266	204   	2713.32	62.3334	2.15447	208.029	61 	33.9667	3  	8.94794
267	221   	501.528	46.7515	2.15447	68.6025	63 	34.52  	3  	8.9284
268	218   	2713.32	71.3694	1.83504	244.148	71 	33.9667	3  	9.77542
269	211   	1752.25	58.0574	2.15447	143.833	71 	34.38  	3  	8.69802
270	207   	982.475	58.5062	2.15447	98.4313	57 	33.7733	3  	9.27301
271	226   	1029.32	53.9042	2.15447	90.1876	69 	33.2667	3  	9.80657
272	211   	948.433	49.6148	2.15447	93.375 	71 	33.5467	3  	9.54818
273	223   	612.881	54.6619	1.83504	86.7114	61 	34.2067	3  	8.58665
274	231   	508.52 	52.52  	1.83504	76.3562	69 	33.7267	1  	9.24727
275	228   	2239.35	60.2184	1.83504	149.881	67 	34.26  	3  	8.90837
276	218   	460.605	55.5587	1.83504	79.7627	59 	33.44  	1  	9.12395
277	218   	1960.14	60.0512	1.83504	138.084	67 	33.44  	3  	9.64398
278	211   	483.738	48.4784	1.83504	71.8361	65 	33.9733	1  	8.6756
279	216   	613.758	54.5868	1.83504	79.1492	59 	33.86  	3  	9.13567
280	200   	354.462	44.9536	1.83504	61.6471	55 	34.7333	5  	7.37985
281	229   	955.597	54.6184	1.83504	87.5143	67 	34.36  	3  	8.20023
282	239   	790.135	59.0456	1.83504	95.5863	67 	33.7867	3  	8.97522
283	220   	5003.6 	62.635 	1.83504	294.093	55 	33.6933	3  	8.56189
284	216   	919.879	57.1631	1.83504	100.878	71 	34.1933	3  	8.83493
285	215   	2529.58	58.8461	1.83504	171.98 	73 	34.0533	3  	9.64489
286	246   	594.204	59.0345	1.83504	87.0149	63 	34.1733	3  	9.16715
287	229   	2027.28	66.7005	1.83504	147.751	59 	34.2333	1  	8.20481
288	222   	635.92 	57.9035	1.83504	84.6211	65 	34.0467	1  	9.83927
289	229   	766.504	58.5069	1.83504	88.944 	55 	34.3533	3  	7.97298
290	231   	2717.42	76.9147	1.83504	209.116	67 	33.1867	1  	10.5372
291	219   	427.076	51.6628	1.83504	64.7547	65 	33.1667	3  	9.20501
292	234   	615.564	60.5062	1.83504	79.2118	65 	32.5667	1  	10.84
293	220   	2717.42	66.5195	1.83504	176.423	69 	32.6133	1  	10.6237
294	213   	2997.56	75.7629	1.83504	248.992	61 	33.5133	3  	9.03714
295	233   	1081.74	55.8457	1.83504	93.3269	53 	33.9933	3  	8.32266
296	217   	2529.58	67.5203	1.83504	173.343	67 	34.1267	3  	8.99911
297	212   	3435.39	72.1647	1.83504	219.092	59 	34.1267	1  	8.98131
298	224   	2629.67	65.2975	1.83504	172.604	69 	33.62  	3  	9.60151
299	192   	1027.86	56.7555	1.83504	114.368	67 	34.5267	3  	8.62879
300	204   	2717.42	72.8475	1.83504	196.49 	61 	34.76  	1  	8.53673
Best Solution: multiply(add(division(add(division(multiply(add(subtract(add(1.2002, subtract(ARG0, 2.1904)), 2.1904), subtract(add(ARG0, subtract(ARG0, 2.152)), subtract(3.0704, multiply(1.2002, ARG0)))), multiply(ARG0, ARG0)), 1.2002), division(4.1675, multiply(1.2002, ARG0))), 3.4724), ARG0), ARG0)
Solution Fitness: (1.8350359967811292,)
Solution Size: 37
